A,0.014976,0.695032
AAL,-0.000929,0.546324
AAP,0.017153,1.197491
AAPL,0.009474,0.232606
ABBV,0.035702,0.963517
ABC,0.016023,0.520770
ABMD,0.029007,1.147803
ABT,0.007112,0.282418
ACGL,0.005782,0.151167
ACN,0.035842,1.087773
ADBE,0.025789,1.186078
ADI,0.011195,0.617585
ADM,0.005854,0.283696
ADP,0.016743,0.489200
ADSK,0.014802,0.794842
AEE,0.005274,0.441890
AEP,0.002889,0.340760
AES,0.002262,0.272579
AFL,0.004519,0.201525
AIG,0.002130,4.727105
AIZ,0.015347,0.834687
AJG,0.013661,0.340477
AKAM,-0.006516,1.067875
ALB,0.024205,0.912959
ALGN,0.022750,2.122755
ALK,0.002844,0.305292
ALL,0.010722,0.586322
ALLE,0.019127,1.027503
AMAT,0.007160,0.397478
AMCR,0.001258,0.076312
AMD,0.004388,0.420925
AME,0.010099,0.280865
AMGN,0.018852,0.854881
AMP,0.045694,1.564976
AMT,0.022752,1.038509
AMZN,0.009889,0.474328
ANET,0.038326,1.023870
ANSS,0.026010,1.141351
AON,0.019783,0.581087
AOS,0.004071,0.184311
APA,0.002656,0.600581
APD,0.020579,0.763980
APH,0.007191,0.195214
APTV,0.019708,1.206058
ARE,0.014116,0.966618
ATO,0.007937,0.348555
ATVI,0.007123,0.301053
AVB,0.014521,1.162682
AVGO,0.113771,3.012540
AVY,0.009910,0.508939
AWK,0.025919,0.741294
AXP,0.008334,0.482940
AZO,0.206091,4.068106
BA,0.008370,0.771026
BAC,0.001546,0.244975
BALL,0.002943,0.158990
BAX,0.003283,0.284545
BBWI,0.002691,0.329056
BBY,0.006101,0.525541
BDX,0.013840,0.587737
BEN,0.001929,0.285470
BIIB,0.025251,1.895764
BIO,0.027670,1.241791
BK,0.002441,0.307219
BKNG,0.179092,12.186886
BKR,0.000816,0.664196
BLK,0.083789,3.560378
BMY,0.004090,0.316960
BR,0.021775,0.720162
BRO,0.003844,0.115895
BSX,0.003844,0.273996
BWA,0.003546,0.353023
BXP,0.004435,1.005560
C,0.001809,1.954392
CAG,0.002418,0.182104
CAH,0.005348,0.477649
CARR,0.032352,0.629073
CAT,0.010507,0.505354
CB,0.019115,0.794624
CBOE,0.019825,0.836015
CBRE,0.010909,0.535317
CCI,0.014856,0.807264
CCL,0.000385,0.451986
CDAY,0.022500,1.424310
CDNS,0.012816,0.451846
CDW,0.050524,1.151637
CE,0.014230,0.961649
CEG,0.148902,1.471383
CF,0.014933,0.681260
CFG,0.005603,0.523179
